,years ma,occurences,Goniopholididae,Pholidosauridae,Crocodylidae,Metriorhynchidae,Atoposauridae,Bernissartiidae,Krokolithidae,Teleosauridae,Paralligatoridae,Dyrosauridae,Peirosauridae,Paluxysuchidae,Uruguaysuchidae,Gavialidae,Alligatoridae,Planocraniidae,Sebecidae,Allodaposuchidae,Hylaeochampsidae,Stomatosuchidae,Sphagesauridae,Baurusuchidae,Itasuchidae,Gobiosuchidae,Candidodontidae,Artzosuchidae,Mahajangasuchidae,Sulaimanisuchidae,Induszalimidae,Protosuchidae,Shartegosuchidae,Aegyptosuchidae,Stromerosuchidae,Sphenosuchidae,Notochampsidae
0,1,27,0,0,140,0,0,0,0,0,0,0,0,0,0,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,217,0,0,126,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,61,0,0,65,0,0,0,0,0,0,0,0,0,0,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,99,0,0,69,0,0,0,0,0,0,0,0,0,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,155,0,0,70,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,95,0,0,59,0,0,0,0,0,0,0,0,0,0,41,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,245,0,0,59,0,0,0,0,0,0,0,0,0,0,42,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,223,0,0,60,0,0,0,0,0,0,0,0,0,0,67,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,328,0,0,56,0,0,0,0,0,0,0,0,0,0,67,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,319,0,0,56,0,0,0,0,0,0,0,0,0,0,67,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,302,0,0,52,0,0,0,0,0,0,0,0,0,0,67,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,89,0,0,23,0,0,0,0,0,0,0,0,0,0,35,86,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,276,0,0,23,0,0,0,0,0,0,0,0,0,0,35,86,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,155,0,0,20,0,0,0,0,0,0,0,0,0,0,29,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,221,0,0,20,0,0,0,0,0,0,0,0,0,0,29,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,74,0,0,34,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,230,0,0,34,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,233,0,0,34,0,0,0,0,0,0,0,0,0,0,31,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,237,0,0,34,0,0,0,0,0,0,0,0,0,0,31,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,236,0,0,35,0,0,0,0,0,0,0,0,0,0,30,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,130,0,0,14,0,0,0,0,0,0,0,0,0,0,13,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,22,135,0,0,14,0,0,0,0,0,0,0,0,0,0,13,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,131,0,0,11,0,0,0,0,0,0,0,0,0,0,12,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,42,0,0,1,0,0,0,1,0,0,0,0,0,0,6,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
