"Annual labor productivity by state and region, N.A. = data not available",,,,,,,,,,,,,,,,,,,,
"Data released May 25, 2023; Bureau of Labor Statistics, Office of Productivity and Technology",,,,,,,,,,,,,,,,,,,,
Sector,Area,Basis,Measure,Units,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Private nonfarm,Alabama,All workers,Labor productivity,Index (2012=100),90.238,93.959,98.399,101.431,102.685,100.000,99.478,100.042,99.346,99.341,100.447,101.293,102.166,104.531,106.963,105.933
Private nonfarm,Alabama,All workers,Real value-added output,Index (2012=100),99.890,98.913,93.379,96.326,98.306,100.000,101.177,100.674,101.250,103.441,105.311,107.626,109.598,107.318,113.936,115.567
Private nonfarm,Alabama,All workers,Hours worked,Index (2012=100),110.695,105.272,94.898,94.967,95.735,100.000,101.708,100.632,101.917,104.127,104.842,106.252,107.274,102.667,106.519,109.094
Private nonfarm,Alabama,All workers,Employment,Index (2012=100),109.253,105.787,99.706,99.090,98.838,100.000,101.202,101.887,103.226,105.366,106.880,108.480,110.161,105.760,109.218,112.514
Private nonfarm,Alabama,All workers,Output per worker,Index (2012=100),91.429,93.502,93.654,97.210,99.461,100.000,99.976,98.810,98.086,98.173,98.532,99.213,99.489,101.473,104.320,102.714
Private nonfarm,Alabama,All workers,Real hourly compensation,Index (2012=100),99.547,100.549,108.596,106.340,104.525,100.000,99.737,102.421,106.018,104.803,107.495,112.153,112.441,119.439,118.358,118.015
Private nonfarm,Alabama,All workers,Hourly compensation,Index (2012=100),88.450,92.808,98.678,100.494,102.019,100.000,101.002,105.521,108.509,109.669,113.312,117.306,121.326,129.230,135.235,145.886
Private nonfarm,Alabama,All workers,Value-added output price deflator,Index (2012=100),92.080,93.714,94.778,95.939,97.959,100.000,101.470,103.619,105.323,106.254,108.363,111.023,112.924,113.975,119.649,129.306
Private nonfarm,Alabama,All workers,Labor compensation,Index (2012=100),97.909,97.701,93.644,95.436,97.669,100.000,102.727,106.189,110.589,114.195,118.799,124.641,130.151,132.676,144.050,159.153
Private nonfarm,Alabama,All workers,Real labor compensation,Index (2012=100),110.194,105.850,103.055,100.988,100.068,100.000,101.440,103.069,108.050,109.128,112.700,119.165,120.620,122.624,126.073,128.747
Private nonfarm,Alabama,All workers,Unit labor costs,Index (2012=100),98.018,98.775,100.284,99.076,99.352,100.000,101.532,105.477,109.224,110.397,112.808,115.809,118.753,123.628,126.431,137.715
Private nonfarm,Alabama,All workers,Employment,Thousands of jobs,1794.1,1737.2,1637.3,1627.2,1623.1,1642.1,1661.9,1673.1,1695.1,1730.3,1755.1,1781.4,1809.0,1736.7,1793.5,1847.6
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,"3,254.836","3,095.368","2,790.350","2,792.366","2,814.960","2,940.357","2,990.583","2,958.951","2,996.713","3,061.714","3,082.737","3,124.203","3,154.234","3,018.763","3,132.036","3,207.755"
Private nonfarm,Alabama,All workers,Real labor compensation,Millions of 2012 dollars,"97,619.941","93,771.374","91,295.765","89,464.054","88,648.955","88,588.955","89,864.912","91,307.508","95,720.265","96,675.745","99,839.562","105,566.982","106,856.280","108,631.215","111,686.945","114,055.842"
Private nonfarm,Alabama,All workers,Value-added output,Millions of current dollars,"129,871.081","130,883.696","124,963.458","130,486.129","135,972.457","141,197.485","144,959.715","147,294.730","150,571.634","155,190.214","161,131.604","168,717.142","174,749.219","172,707.406","192,484.882","210,998.422"
Private nonfarm,Alabama,All workers,Labor compensation,Millions of current dollars,"78,836.891","78,668.771","75,402.385","76,844.936","78,642.951","80,520.177","82,716.324","85,503.183","89,046.378","91,950.079","95,656.970","100,361.143","104,797.595","106,830.815","115,989.637","128,149.989"
Private nonfarm,Alabama,All workers,Real hourly compensation,2012 dollars per hour worked,29.992,30.294,32.718,32.039,31.492,30.129,30.049,30.858,31.942,31.576,32.387,33.790,33.877,35.985,35.660,35.556
Private nonfarm,Alabama,All workers,Hourly compensation,Current dollars per hour worked,24.221,25.415,27.023,27.520,27.938,27.384,27.659,28.896,29.715,30.032,31.030,32.124,33.224,35.389,37.033,39.950
Private nonfarm,Alabama,All workers,Labor productivity,% Change from previous year,N.A.,4.1,4.7,3.1,1.2,-2.6,-0.5,0.6,-0.7,0.0,1.1,0.8,0.9,2.3,2.3,-1.0
Private nonfarm,Alabama,All workers,Real value-added output,% Change from previous year,N.A.,-1.0,-5.6,3.2,2.1,1.7,1.2,-0.5,0.6,2.2,1.8,2.2,1.8,-2.1,6.2,1.4
Private nonfarm,Alabama,All workers,Hours worked,% Change from previous year,N.A.,-4.9,-9.9,0.1,0.8,4.5,1.7,-1.1,1.3,2.2,0.7,1.3,1.0,-4.3,3.8,2.4
Private nonfarm,Alabama,All workers,Employment,% Change from previous year,N.A.,-3.2,-5.7,-0.6,-0.3,1.2,1.2,0.7,1.3,2.1,1.4,1.5,1.5,-4.0,3.3,3.0
Private nonfarm,Alabama,All workers,Output per worker,% Change from previous year,N.A.,2.3,0.2,3.8,2.3,0.5,0.0,-1.2,-0.7,0.1,0.4,0.7,0.3,2.0,2.8,-1.5
Private nonfarm,Alabama,All workers,Real hourly compensation,% Change from previous year,N.A.,1.0,8.0,-2.1,-1.7,-4.3,-0.3,2.7,3.5,-1.1,2.6,4.3,0.3,6.2,-0.9,-0.3
Private nonfarm,Alabama,All workers,Hourly compensation,% Change from previous year,N.A.,4.9,6.3,1.8,1.5,-2.0,1.0,4.5,2.8,1.1,3.3,3.5,3.4,6.5,4.6,7.9
Private nonfarm,Alabama,All workers,Value-added output,% Change from previous year,N.A.,0.8,-4.5,4.4,4.2,3.8,2.7,1.6,2.2,3.1,3.8,4.7,3.6,-1.2,11.5,9.6
Private nonfarm,Alabama,All workers,Value-added output price deflator,% Change from previous year,N.A.,1.8,1.1,1.2,2.1,2.1,1.5,2.1,1.6,0.9,2.0,2.5,1.7,0.9,5.0,8.1
Private nonfarm,Alabama,All workers,Labor compensation,% Change from previous year,N.A.,-0.2,-4.2,1.9,2.3,2.4,2.7,3.4,4.1,3.3,4.0,4.9,4.4,1.9,8.6,10.5
Private nonfarm,Alabama,All workers,Real labor compensation,% Change from previous year,N.A.,-3.9,-2.6,-2.0,-0.9,-0.1,1.4,1.6,4.8,1.0,3.3,5.7,1.2,1.7,2.8,2.1
Private nonfarm,Alabama,All workers,Unit labor costs,% Change from previous year,N.A.,0.8,1.5,-1.2,0.3,0.7,1.5,3.9,3.6,1.1,2.2,2.7,2.5,4.1,2.3,8.9
Private nonfarm,Alaska,All workers,Labor productivity,Index (2012=100),91.753,91.917,105.097,98.758,93.391,100.000,93.715,94.131,96.044,97.501,98.863,94.826,92.419,97.982,94.662,87.933
Private nonfarm,Alaska,All workers,Real value-added output,Index (2012=100),88.486,87.802,97.922,93.514,93.961,100.000,94.475,92.205,93.967,92.246,92.841,89.876,90.416,85.009,85.296,82.970
Private nonfarm,Alaska,All workers,Hours worked,Index (2012=100),96.440,95.524,93.173,94.690,100.611,100.000,100.812,97.954,97.838,94.610,93.909,94.780,97.833,86.760,90.106,94.355
Private nonfarm,Alaska,All workers,Employment,Index (2012=100),97.850,97.769,95.041,96.458,99.237,100.000,102.079,101.959,100.990,99.670,98.250,98.915,100.832,91.244,94.208,97.348
Private nonfarm,Alaska,All workers,Output per worker,Index (2012=100),90.430,89.806,103.031,96.948,94.684,100.000,92.551,90.433,93.046,92.551,94.495,90.862,89.670,93.166,90.540,85.230
Private nonfarm,Alaska,All workers,Real hourly compensation,Index (2012=100),93.847,94.376,97.208,99.539,95.818,100.000,103.702,105.745,108.036,104.749,101.435,103.778,106.599,116.894,109.232,106.655
Private nonfarm,Alaska,All workers,Hourly compensation,Index (2012=100),86.874,90.756,94.070,94.708,95.248,100.000,104.355,108.981,112.623,111.239,109.835,114.588,117.920,128.319,130.188,137.526
Private nonfarm,Alaska,All workers,Value-added output price deflator,Index (2012=100),97.418,111.794,87.173,97.931,104.273,100.000,103.647,103.866,89.815,88.657,94.092,99.238,97.660,92.702,108.809,127.485
Private nonfarm,Alaska,All workers,Labor compensation,Index (2012=100),83.781,86.693,87.648,89.679,95.830,100.000,105.202,106.751,110.188,105.243,103.145,108.607,115.365,111.329,117.307,129.763
Private nonfarm,Alaska,All workers,Real labor compensation,Index (2012=100),90.505,90.151,90.571,94.254,96.403,100.000,104.544,103.582,105.700,99.103,95.257,98.361,104.288,101.416,98.424,100.634
Private nonfarm,Alaska,All workers,Unit labor costs,Index (2012=100),94.683,98.737,89.507,95.900,101.988,100.000,111.354,115.777,117.262,114.090,111.099,120.841,127.593,130.962,137.529,156.398
Private nonfarm,Alaska,All workers,Employment,Thousands of jobs,274.3,274.1,266.5,270.4,278.2,280.4,286.2,285.9,283.1,279.4,275.5,277.3,282.7,255.8,264.1,272.9
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,489.199,484.553,472.629,480.323,510.359,507.259,511.377,496.880,496.291,479.918,476.364,480.780,496.267,440.096,457.071,478.625
