Sector,Area,Basis,Measure,Units,Year,Value
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2007,"3,254.836"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2008,"3,095.368"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2009,"2,790.350"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2010,"2,792.366"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2011,"2,814.960"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2012,"2,940.357"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2013,"2,990.583"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2014,"2,958.951"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2015,"2,996.713"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2016,"3,061.714"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2017,"3,082.737"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2018,"3,124.203"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2019,"3,154.234"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2020,"3,018.763"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2021,"3,132.036"
Private nonfarm,Alabama,All workers,Hours worked,Millions of hours,2022,"3,207.755"
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2007,489.199
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2008,484.553
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2009,472.629
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2010,480.323
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2011,510.359
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2012,507.259
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2013,511.377
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2014,496.880
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2015,496.291
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2016,479.918
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2017,476.364
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2018,480.780
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2019,496.267
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2020,440.096
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2021,457.071
Private nonfarm,Alaska,All workers,Hours worked,Millions of hours,2022,478.625
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2007,"4,396.806"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2008,"4,222.269"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2009,"3,923.422"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2010,"3,905.691"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2011,"3,903.827"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2012,"3,990.028"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2013,"4,073.018"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2014,"4,118.999"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2015,"4,281.890"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2016,"4,362.972"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2017,"4,533.786"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2018,"4,692.837"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2019,"4,813.071"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2020,"4,680.475"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2021,"4,865.092"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2022,"5,118.348"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2007,"1,901.057"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2008,"1,894.174"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2009,"1,771.212"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2010,"1,754.549"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2011,"1,803.611"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2012,"1,814.011"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2013,"1,796.732"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2014,"1,813.114"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2015,"1,840.825"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2016,"1,868.089"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2017,"1,930.448"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2018,"1,951.206"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2019,"1,969.650"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2020,"1,894.281"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2021,"2,006.028"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2022,"2,060.619"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2007,"25,823.190"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2008,"24,921.007"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2009,"23,009.090"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2010,"22,920.843"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2011,"23,425.670"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2012,"24,151.697"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2013,"25,050.793"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2014,"25,804.557"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2015,"26,519.016"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2016,"27,136.373"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2017,"27,635.150"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2018,"28,309.991"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2019,"28,321.117"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2020,"25,809.147"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2021,"27,337.859"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2022,"28,667.560"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2007,"3,848.431"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2008,"3,838.836"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2009,"3,522.006"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2010,"3,495.726"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2011,"3,589.634"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2012,"3,728.617"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2013,"3,805.254"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2014,"3,921.973"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2015,"3,951.832"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2016,"4,007.984"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2017,"4,090.220"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2018,"4,256.294"
