,years ma,Arthropoda,Brachiopoda,Foraminifera,Echinodermata,Porifera,Chordata,Mollusca,Bryozoa,Cnidaria,Hyolitha,Problematica,Agmata,Priapulida,Hemichordata,Annelida,Rhodophyta,Lophotrochozoa,Chlorophyta,Cyanobacteria,Ciliophora,Haptophyta,Radiolaria,Lycopodophyta,Bryophyta,Prasinophyta,Onychophora,Lycophyta,Chaetognatha,Proarticulata,Psilophytophyta,Thallophyta,Zosterophyllophyta,Pteridophyta,Tracheophyta,Pinophyta,Coniferophyta,Gymnospermophyta,Ginkgophyta,Lycopodiophyta,Pteridospermophyta,Sphenophyta,Equisetophyta,Angiospermae,Peltaspermophyta,Ochrophyta,Cycadophyta,Spermatophyta,Aneurophytophyta,Phaeophyta,Charophyta,Rhizopodea,Cladoxylophyta,Progymnospermophyta,Magnoliophyta,Gnetophyta,Cycadeoideophyta,Filicophyta,Sipuncula,Myzozoa,Isoetophyta,Anthocerophyta,Cercozoa,Vetulicolia,Ctenophora,Entoprocta,Nematoda,Platyhelminthes,Tardigrada
0,1,217,31,275,58,13,14827,12256,215,2664,0,0,0,0,0,47,46,0,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,18,0,12,15,0,0,5,0,0,0,382,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,222,8,187,56,17,15495,12014,143,2708,0,0,0,0,0,45,46,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,14,10,0,0,4,0,0,0,363,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,3,224,22,211,107,3,10409,16552,267,1891,0,0,0,0,0,8,16,0,10,0,0,0,0,1,2,0,0,0,0,0,0,0,0,55,0,63,52,0,0,9,0,0,0,1390,0,50,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,4,350,36,481,147,3,9562,13130,123,1625,0,0,0,0,0,12,38,0,3,0,0,25,16,1,2,0,0,0,0,0,0,0,0,45,0,59,56,0,0,9,0,0,0,1219,0,58,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,5,351,36,481,148,3,8513,13151,123,1625,0,0,0,0,0,12,38,0,4,0,0,25,16,1,2,0,0,0,0,0,0,0,0,45,0,60,56,0,0,9,0,0,0,1256,0,58,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,6,547,32,1051,138,14,7987,12287,215,1362,0,0,0,0,0,39,120,0,24,0,0,0,1,1,7,0,0,0,0,0,0,0,0,134,0,134,153,0,2,17,0,0,0,3136,0,11,8,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,547,32,1051,138,14,8079,12287,215,1358,0,0,0,0,0,39,120,0,24,0,0,0,1,1,7,0,0,0,0,0,0,0,0,134,0,134,153,0,2,17,0,0,0,3136,0,11,8,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,952,21,957,99,65,8820,14913,90,1086,0,0,0,0,0,14,45,0,14,0,0,12,1,1,7,0,0,0,0,0,0,0,0,138,0,128,153,0,2,16,0,0,0,3128,0,5,9,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,941,21,957,99,65,8149,14895,90,1086,0,0,0,0,0,14,45,0,13,0,0,12,1,1,7,0,0,0,0,0,0,0,0,138,0,128,153,0,2,16,0,0,0,3120,0,5,9,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,941,21,957,99,65,8044,14895,90,1086,0,0,0,0,0,14,45,0,13,0,0,12,1,1,7,0,0,0,0,0,0,0,0,138,0,128,153,0,2,16,0,0,0,3120,0,5,9,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
