interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs
3002,Holocene,0.01170,0.00000,0,2193,579,0,2772,107,17695
922,Late Pleistocene,0.12600,0.01170,256,1671,553,1937,3848,95,38811
923,Middle Pleistocene,0.78100,0.12600,194,415,183,3414,2538,70,16300
740,Calabrian,1.80600,0.78100,254,553,168,3575,2825,83,23523
741,Gelasian,2.58800,1.80600,95,164,52,4033,1195,45,5888
96,Piacenzian,3.60000,2.58800,151,577,195,4046,2852,97,20188
97,Zanclean,5.33300,3.60000,398,602,296,4225,3544,96,24850
98,Messinian,7.24600,5.33300,141,308,187,4686,2150,107,12172
99,Tortonian,11.62000,7.24600,638,862,625,4356,4464,161,37146
100,Serravallian,13.82000,11.62000,478,734,615,4740,4421,137,33817
101,Langhian,15.97000,13.82000,251,234,188,5223,2187,96,11830
102,Burdigalian,20.44000,15.97000,949,692,1544,4508,5763,210,38534
103,Aquitanian,23.03000,20.44000,231,118,107,4969,1411,78,4396
104,Chattian,28.10000,23.03000,483,431,581,4604,3255,172,15929
105,Rupelian,33.90000,28.10000,671,479,568,4364,3507,128,23174
106,Priabonian,38.00000,33.90000,936,794,2980,3907,6645,172,32374
107,Bartonian,41.30000,38.00000,338,311,226,4363,2338,81,20414
108,Lutetian,47.80000,41.30000,853,501,836,3821,4073,140,25950
109,Ypresian,56.00000,47.80000,1288,349,1536,3034,4642,176,36822
110,Thanetian,59.20000,56.00000,390,188,212,2993,1769,76,11451
743,Selandian,61.60000,59.20000,172,79,135,3009,831,16,2931
111,Danian,66.00000,61.60000,528,266,377,2560,2166,70,17628
112,Maastrichtian,72.10000,66.00000,368,910,635,2458,3131,114,54914
113,Campanian,83.60000,72.10000,739,604,940,2629,3702,155,35569
114,Santonian,86.30000,83.60000,232,144,226,3001,1439,59,7097
115,Coniacian,89.80000,86.30000,138,96,91,3007,947,42,4817
116,Turonian,93.90000,89.80000,257,206,323,2846,1655,75,11362
117,Cenomanian,100.50000,93.90000,560,462,1960,2492,4117,122,27545
118,Albian,113.00000,100.50000,554,392,612,2400,2714,103,22762
119,Aptian,125.00000,113.00000,495,527,1310,2297,3389,143,18931
120,Barremian,129.40000,125.00000,403,232,902,2421,2422,94,10317
121,Hauterivian,132.90000,129.40000,73,62,31,2580,595,15,2623
122,Valanginian,139.80000,132.90000,336,208,198,2306,1479,53,16516
123,Berriasian,145.00000,139.80000,187,153,238,2327,1164,63,8113
124,Tithonian,152.10000,145.00000,276,402,525,2204,2118,95,19990
125,Kimmeridgian,157.30000,152.10000,253,174,200,2353,1496,51,12523
