orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,reference_no,is_extant,n_occs,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,type_taxon,type_taxon_no,n_orders,n_families,n_genera,n_species
52775,91968,txn,B,unranked clade,Dinosauria,,52775,unranked clade,Dinosauria,53207,14071,extant,35344,Chordata,33815,Reptilia,36322,,,,,,,,,,108,511,3290,5710
67919,67919,txn,,superorder,Herreravia,,67919,superorder,Herreravia,52775,10350,extinct,0,Chordata,33815,Reptilia,36322,,,,,,,,,,0,0,0,0
91104,91104,txn,,unranked clade,Ornithischiformes,,91104,unranked clade,Ornithischiformes,52775,19458,extinct,0,Chordata,33815,Reptilia,36322,,,,,,,,,,0,0,0,0
91103,91103,txn,,unranked clade,Carnosauriformes,,91103,unranked clade,Carnosauriformes,52775,19458,,0,Chordata,33815,Reptilia,36322,,,,,,,,,,0,0,0,0
308840,308840,txn,,suborder,Postpubici,,308840,suborder,Postpubici,52775,53339,extinct,0,Chordata,33815,Reptilia,36322,NO_ORDER_SPECIFIED,NO,,,,,,,,,0,0,0
310482,310482,txn,,unranked clade,Phytophagi,,310482,unranked clade,Phytophagi,52775,34613,extinct,0,Chordata,33815,Reptilia,36322,,,,,,,,,,0,0,0,0
358782,358782,txn,,unranked clade,Megalosauridae,,358782,unranked clade,Megalosauridae,52775,23721,extinct,16,Chordata,33815,Reptilia,36322,,,Megalosauridae,358782,,,,,,0,0,0,0
38505,91969,txn,,unranked clade,Saurischia,,38505,unranked clade,Saurischia,52775,9798,extant,27242,Chordata,33815,Saurischia,38505,,,,,,,,,,104,463,2822,5109
357839,357839,txn,,suborder,Pachypodosauroidea,,357839,suborder,Pachypodosauroidea,38505,62842,extinct,0,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,,,,,,,,,0,0,0
38653,95571,txn,,unranked clade,Sauropoda,,38653,unranked clade,Sauropoda,38505,7803,extinct,3309,Chordata,33815,Saurischia,38505,,,,,,,,,,0,29,300,348
