early_age,late_age,DD_Xbt,DD_XbL,DD_XFt,DD_XFL,DD_occ,PB_Xbt,PB_XbL,PB_XFt,PB_XFL,PB_occ
2.5880,0.0000,0,318,0,83,853,0,1213,0,628,6816
23.0300,2.5880,117,545,201,809,5040,446,690,767,1509,10051
33.9000,23.0300,415,165,247,151,1361,840,91,296,175,1645
41.3000,33.9000,446,359,134,95,1445,747,467,184,427,4807
56.0000,41.3000,454,175,351,74,1428,745,251,469,335,4967
66.0000,56.0000,383,208,246,115,1442,646,144,350,251,4588
72.1000,66.0000,553,480,38,70,1850,642,803,148,285,14628
83.6000,72.1000,746,143,287,142,3062,909,100,536,96,4744
89.8000,83.6000,790,33,99,52,1438,859,178,150,46,1901
100.5000,89.8000,534,200,289,122,1979,683,342,354,315,6392
113.0000,100.5000,580,203,154,116,1788,714,359,311,131,3588
125.0000,113.0000,614,95,169,63,1621,756,179,317,107,2362
132.9000,125.0000,576,58,133,80,1674,693,156,242,172,2779
145.0000,132.9000,508,67,126,69,1427,587,69,262,178,3223
152.1000,145.0000,487,120,88,25,1053,610,200,46,75,2608
163.5000,152.1000,456,80,151,53,1284,589,172,221,129,2123
174.1000,163.5000,336,64,200,109,1082,448,70,313,218,3422
182.7000,174.1000,387,54,13,5,531,445,96,73,24,1088
190.8000,182.7000,436,33,5,17,516,429,85,112,49,1570
201.3000,190.8000,395,20,74,39,751,378,34,136,86,1035
228.0000,201.3000,376,258,39,90,1519,315,243,97,229,1880
235.0000,228.0000,634,39,0,4,1240,496,94,62,24,766
247.2000,235.0000,302,68,371,140,2123,293,37,297,288,1934
252.1700,247.2000,280,70,90,89,976,260,81,70,201,1516
259.9000,252.1700,281,147,69,97,1203,295,281,46,200,2362
272.3000,259.9000,329,109,99,68,1157,462,275,114,235,2551
279.3000,272.3000,383,27,55,22,722,658,93,79,127,1128
290.1000,279.3000,369,34,41,42,728,656,59,95,104,927
298.9000,290.1000,315,13,88,32,694,590,65,125,60,1191
307.0000,298.9000,304,218,24,56,751,570,166,85,96,3635
315.2000,307.0000,468,98,54,8,853,602,138,134,37,3004
323.2000,315.2000,418,88,148,0,1010,560,91,180,21,2772
330.9000,323.2000,474,103,32,16,978,551,116,100,32,3103
346.7000,330.9000,519,139,58,22,1935,452,109,215,129,4139
358.9000,346.7000,259,8,399,33,1533,336,24,225,94,1700
372.2000,358.9000,266,144,1,10,599,311,86,49,104,1292
382.7000,372.2000,260,48,150,21,612,337,99,60,88,2446
393.3000,382.7000,205,72,103,161,982,278,203,158,306,5778
407.6000,393.3000,249,54,28,27,371,430,47,51,32,734
419.2000,407.6000,183,27,120,72,487,311,42,166,146,1662
423.0000,419.2000,204,166,6,9,334,346,91,7,17,621
433.4000,423.0000,318,48,52,30,581,349,158,88,161,3525
443.4000,433.4000,252,42,114,40,591,270,40,237,122,2185
453.0000,443.4000,249,267,45,45,1187,257,529,53,152,7718
458.4000,453.0000,457,60,59,6,976,672,134,114,13,4436
470.0000,458.4000,192,144,325,121,1870,314,149,492,78,4823
485.4000,470.0000,92,30,244,72,1101,120,74,343,164,2069
497.0000,485.4000,87,60,35,1,610,95,295,99,17,1863
504.5000,497.0000,110,263,37,0,1208,85,279,305,7,2962
514.0000,504.5000,123,126,250,8,1565,101,284,263,55,3242
521.0000,514.0000,160,25,89,8,988,133,86,252,121,1738
541.0000,521.0000,6,0,179,1,739,15,4,204,17,718
